timestamp,action,key,document_id,move_to
2021-09-20T12:46:15.487Z,add,common_actueel.secties.vaccination_coverage_choropleth.title.nl,4Hn4MB4VRci1fnngMhDKq4,__
2021-09-20T12:46:16.511Z,add,common_actueel.secties.vaccination_coverage_choropleth.title.vr,Q0Ac8gjemD8winez2Unwwb,__
2021-09-20T12:46:17.535Z,add,common_actueel.secties.vaccination_coverage_choropleth.title.gm,4Hn4MB4VRci1fnngMhDL7o,__
2021-09-20T12:46:18.559Z,add,common_actueel.secties.vaccination_coverage_choropleth.content.nl,Q0Ac8gjemD8winez2UnxEQ,__
2021-09-20T12:46:19.579Z,add,common_actueel.secties.vaccination_coverage_choropleth.content.vr,Ierr3hadoEWr1dYNogfXUj,__
2021-09-20T12:46:20.537Z,add,common_actueel.secties.vaccination_coverage_choropleth.content.gm,4Hn4MB4VRci1fnngMhDLNw,__
2021-09-22T09:09:05.384Z,add,common_actueel.secties.search.title.nl,PGwiP4IwXrA0GfLCLD9Tth,__
2021-09-22T09:09:06.407Z,add,common_actueel.secties.search.title.vr,7nClfXqPlyZyEU7PO2TAAw,__
2021-09-22T09:09:07.431Z,add,common_actueel.secties.search.title.gm,PGwiP4IwXrA0GfLCLD9UBA,__
2021-09-21T10:44:10.891Z,add,accessibility.charts.topical_intensive_care_nice.description,4Hn4MB4VRci1fnngMjxWWu,__
2021-09-21T10:44:11.903Z,add,accessibility.charts.topical_intensive_care_nice.label,4Hn4MB4VRci1fnngMjxXPk,__
2021-09-21T10:44:12.920Z,add,gemeente_actueel.mini_trend_tiles.ic_opnames.title,4Hn4MB4VRci1fnngMjxXXo,__
2021-09-21T10:44:13.941Z,add,gemeente_actueel.mini_trend_tiles.ic_opnames.text,4Hn4MB4VRci1fnngMjxXce,__
2021-09-21T10:44:16.148Z,add,gemeente_actueel.mini_trend_tiles.vaccinatiegraad.title,Q0Ac8gjemD8winez2X74Rc,__
2021-09-21T10:44:16.972Z,add,gemeente_actueel.mini_trend_tiles.vaccinatiegraad.text,4Hn4MB4VRci1fnngMjxYgm,__
2021-09-21T10:44:17.989Z,add,nationaal_actueel.data_driven_texts.intensive_care_nice.value.plural,Ierr3hadoEWr1dYNomvB4X,__
2021-09-21T10:44:19.001Z,add,nationaal_actueel.data_driven_texts.intensive_care_nice.value.singular,Q0Ac8gjemD8winez2X756k,__
2021-09-21T10:44:20.015Z,add,nationaal_actueel.data_driven_texts.intensive_care_nice.value.zero,Ierr3hadoEWr1dYNomvC6h,__
2021-09-21T10:44:21.030Z,add,nationaal_actueel.mini_trend_tiles.ic_opnames.title,4Hn4MB4VRci1fnngMjxaVg,__
2021-09-21T10:44:22.050Z,add,nationaal_actueel.mini_trend_tiles.vaccinatiegraad.title,Q0Ac8gjemD8winez2X76xu,__
2021-09-21T10:44:23.051Z,add,nationaal_actueel.mini_trend_tiles.vaccinatiegraad.text,4Hn4MB4VRci1fnngMjxbRk,__
2021-09-21T10:44:24.605Z,add,veiligheidsregio_actueel.mini_trend_tiles.ic_opnames.title,Ierr3hadoEWr1dYNomvEml,__
2021-09-21T10:44:25.588Z,add,veiligheidsregio_actueel.mini_trend_tiles.ic_opnames.text,Q0Ac8gjemD8winez2X78nh,__
2021-09-21T10:44:26.604Z,add,veiligheidsregio_actueel.mini_trend_tiles.vaccinatiegraad.title,4Hn4MB4VRci1fnngMjxc1E,__
2021-09-21T10:44:27.629Z,add,veiligheidsregio_actueel.mini_trend_tiles.vaccinatiegraad.text,Ierr3hadoEWr1dYNomvGJ7,__
2021-09-21T10:44:28.631Z,add,ziekenhuisopnames_per_dag.linechart_legend_titel_trend_label,Q0Ac8gjemD8winez2X79JE,__
2021-09-21T10:44:28.632Z,delete,accessibility.charts.topical_tested_overall.description,Z3v1SKYekK4CLDpzUPcFb3,__
2021-09-21T10:44:28.632Z,delete,accessibility.charts.topical_tested_overall.label,G1DXw0RdifOml06twMk6eI,__
2021-09-21T10:44:28.633Z,delete,gemeente_actueel.mini_trend_tiles.positief_getest.title,jF33EuwumlGuwav2FD4EmS,__
2021-09-21T10:44:28.633Z,delete,nationaal_actueel.data_driven_texts.infected_people_total.value.plural,jF33EuwumlGuwav2FD4ChI,__
2021-09-21T10:44:28.633Z,delete,nationaal_actueel.data_driven_texts.infected_people_total.value.singular,jF33EuwumlGuwav2FD4Cfc,__
2021-09-21T10:44:28.634Z,delete,nationaal_actueel.data_driven_texts.infected_people_total.value.zero,jF33EuwumlGuwav2FD4Cdw,__
2021-09-21T10:44:28.634Z,delete,nationaal_actueel.mini_trend_tiles.positief_getest.title,jF33EuwumlGuwav2FD4CSC,__
2021-09-21T10:44:28.634Z,delete,veiligheidsregio_actueel.mini_trend_tiles.positief_getest.title,jF33EuwumlGuwav2FD4DmO,__
2021-09-22T09:27:36.907Z,add,common_actueel.secties.kpi.zeven_daags_gemiddelde_nieuw,PGwiP4IwXrA0GfLCLDBX5v,__
2021-09-22T09:27:38.084Z,add,nationaal_actueel.data_driven_texts.intake_hospital_ma_nieuw.value.plural,7nClfXqPlyZyEU7PO2dBcq,__
2021-09-22T09:27:39.103Z,add,nationaal_actueel.data_driven_texts.intake_hospital_ma_nieuw.value.singular,7nClfXqPlyZyEU7PO2dCLg,__
2021-09-22T09:27:40.115Z,add,nationaal_actueel.data_driven_texts.intake_hospital_ma_nieuw.value.zero,7nClfXqPlyZyEU7PO2dEIk,__
